Series.Title,Certificate,IMDB.Rating,Meta.score,Director,No.of.Votes,Gross
Zootopia,U,8,78,Byron Howard,434143,"341,268,248"
Bãhubali: The Beginning,UA,8,,S.S. Rajamouli,102972,"6,738,000"
Kaguyahime no monogatari,U,8,89,Isao Takahata,38746,"1,506,975"
Wonder,U,8,66,Stephen Chbosky,141923,"132,422,809"
Gully Boy,UA,8,65,Zoya Akhtar,31886,"5,566,534"
Special Chabbis,UA,8,,Neeraj Pandey,51069,"1,079,369"
Short Term 12,R,8,82,Destin Daniel Cretton,81770,"1,010,414"
Serbuan maut 2: Berandal,A,8,71,Gareth Evans,114316,"2,625,803"
The Imitation Game,UA,8,73,Morten Tyldum,685201,"91,125,683"
Guardians of the Galaxy,UA,8,76,James Gunn,1043455,"333,176,600"
Blade Runner 2049,UA,8,81,Denis Villeneuve,461823,"92,054,159"
Her,A,8,90,Spike Jonze,540772,"25,568,251"
Bohemian Rhapsody,UA,8,49,Bryan Singer,450349,"216,428,042"
The Revenant,A,8,76,Alejandro G. Iñárritu,705589,"183,637,894"
The Perks of Being a Wallflower,UA,8,67,Stephen Chbosky,462252,"17,738,570"
Tropa de Elite 2: O Inimigo Agora é Outro,,8,71,José Padilha,79200,"100,119"
The King's Speech,U,8,88,Tom Hooper,639603,"138,797,449"
The Help,UA,8,62,Tate Taylor,428521,"169,708,112"
Deadpool,R,8,65,Tim Miller,902669,"363,070,709"
Darbareye Elly,TV-PG,8,87,Asghar Farhadi,45803,"106,662"
Dev.D,A,8,,Anurag Kashyap,28749,"10,950"
Yip Man,R,8,59,Wilson Yip,211427,
My Name Is Khan,UA,8,50,Karan Johar,98575,"4,018,695"
Nefes: Vatan Sagolsun,,8,,Levent Semerci,31838,
Slumdog Millionaire,UA,8,84,Danny Boyle,798882,"141,319,928"
Black Swan,A,8,79,Darren Aronofsky,699673,"106,954,678"
Tropa de Elite,R,8,33,José Padilha,98097,"8,060"
The Avengers,UA,8,69,Joss Whedon,1260806,"623,279,547"
Persepolis,PG-13,8,90,Vincent Paronnaud,88656,"4,445,756"
Dallas Buyers Club,R,8,80,Jean-Marc Vallée,441614,"27,298,285"
The Pursuit of Happyness,U,8,64,Gabriele Muccino,448930,"163,566,459"
Blood Diamond,A,8,64,Edward Zwick,499439,"57,366,262"
The Bourne Ultimatum,UA,8,85,Paul Greengrass,604694,"227,471,070"
Bin-jip,U,8,72,Ki-duk Kim,50610,"238,507"
Sin City,A,8,74,Frank Miller,738512,"74,103,820"
Le scaphandre et le papillon,PG-13,8,92,Julian Schnabel,103284,"5,990,075"
G.O.R.A.,,8,,Ömer Faruk Sorak,56960,
Ratatouille,U,8,96,Brad Bird,641645,"206,445,654"
Casino Royale,PG-13,8,80,Martin Campbell,582239,"167,445,960"
Kill Bill: Vol. 2,A,8,83,Quentin Tarantino,683900,"66,208,183"
Vozvrashchenie,,8,82,Andrey Zvyagintsev,42399,"502,028"
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,R,8,85,Ki-duk Kim,77520,"2,380,788"
Mar adentro,U,8,74,Alejandro Amenábar,77554,"2,086,345"
Cinderella Man,UA,8,69,Ron Howard,176151,"61,649,911"
Kal Ho Naa Ho,U,8,54,Nikkhil Advani,63460,"1,787,378"
Mou gaan dou,UA,8,75,Andrew Lau,117857,"169,659"
Pirates of the Caribbean: The Curse of the Black Pearl,UA,8,63,Gore Verbinski,1015122,"305,413,918"
Big Fish,U,8,58,Tim Burton,415218,"66,257,002"
The Incredibles,U,8,90,Brad Bird,657047,"261,441,092"
Yeopgijeogin geunyeo,,8,,Jae-young Kwak,45403,
Dogville,R,8,60,Lars von Trier,137963,"1,530,386"
Vizontele,,8,,Yilmaz Erdogan,33592,
Donnie Darko,R,8,88,Richard Kelly,740086,"1,480,006"
Magnolia,R,8,77,Paul Thomas Anderson,289742,"22,455,976"
Dancer in the Dark,U,8,61,Lars von Trier,102285,"4,184,036"
The Straight Story,U,8,86,David Lynch,82002,"6,203,044"
Pâfekuto burû,A,8,,Satoshi Kon,58192,"776,665"
Festen,R,8,82,Thomas Vinterberg,78341,"1,647,780"
Central do Brasil,R,8,80,Walter Salles,36419,"5,595,428"
The Iron Giant,PG,8,85,Brad Bird,172083,"23,159,305"
Knockin' on Heaven's Door,,8,,Thomas Jahn,27721,"3,296"
Sling Blade,R,8,84,Billy Bob Thornton,86838,"24,475,416"
Secrets & Lies,U,8,91,Mike Leigh,37564,"13,417,292"
Twelve Monkeys,A,8,74,Terry Gilliam,578443,"57,141,459"
Kôkaku Kidôtai,UA,8,76,Mamoru Oshii,129231,"515,905"
The Nightmare Before Christmas,U,8,82,Henry Selick,300208,"75,082,668"
Groundhog Day,U,8,72,Harold Ramis,577991,"70,906,973"
Bound by Honor,R,8,47,Taylor Hackford,28825,"4,496,583"
Scent of a Woman,UA,8,59,Martin Brest,263918,"63,895,607"
Aladdin,U,8,86,Ron Clements,373845,"217,350,219"
JFK,UA,8,72,Oliver Stone,142110,"70,405,498"
Beauty and the Beast,G,8,95,Gary Trousdale,417178,"218,967,620"
Dances with Wolves,U,8,72,Kevin Costner,240266,"184,208,848"
Do the Right Thing,R,8,93,Spike Lee,89429,"27,545,445"
Rain Man,U,8,65,Barry Levinson,473064,"178,800,000"
Akira,UA,8,,Katsuhiro Ôtomo,164918,"553,171"
The Princess Bride,U,8,77,Rob Reiner,393899,"30,857,814"
Der Himmel über Berlin,U,8,79,Wim Wenders,64722,"3,333,969"
Au revoir les enfants,U,8,88,Louis Malle,31163,"4,542,825"
Tenkû no shiro Rapyuta,U,8,78,Hayao Miyazaki,150140,
The Terminator,UA,8,84,James Cameron,799795,"38,400,000"
Gandhi,U,8,79,Richard Attenborough,217664,"52,767,889"
Kagemusha,U,8,84,Akira Kurosawa,32195,
Being There,PG,8,83,Hal Ashby,65625,"30,177,511"
Annie Hall,A,8,92,Woody Allen,251823,"39,200,000"
Jaws,A,8,87,Steven Spielberg,543388,"260,000,000"
Dog Day Afternoon,U,8,86,Sidney Lumet,235652,"50,000,000"
Young Frankenstein,A,8,80,Mel Brooks,143359,"86,300,000"
Papillon,R,8,58,Franklin J. Schaffner,121627,"53,267,000"
The Exorcist,A,8,81,William Friedkin,362393,"232,906,145"
Sleuth,PG,8,,Joseph L. Mankiewicz,44748,"4,081,254"
The Last Picture Show,R,8,93,Peter Bogdanovich,42456,"29,133,000"
Fiddler on the Roof,G,8,67,Norman Jewison,39491,"80,500,000"
Il conformista,UA,8,100,Bernardo Bertolucci,27067,"541,940"
Butch Cassidy and the Sundance Kid,PG,8,66,George Roy Hill,201888,"102,308,889"
Rosemary's Baby,A,8,96,Roman Polanski,193674,
Planet of the Apes,U,8,79,Franklin J. Schaffner,165167,"33,395,426"
The Graduate,A,8,83,Mike Nichols,253676,"104,945,305"
Who's Afraid of Virginia Woolf?,A,8,75,Mike Nichols,68926,
The Sound of Music,U,8,63,Robert Wise,205425,"163,214,286"
Doctor Zhivago,A,8,69,David Lean,69903,"111,722,000"
Per un pugno di dollari,A,8,65,Sergio Leone,198219,"14,500,000"
8½,,8,91,Federico Fellini,108844,"50,690"
Vivre sa vie: Film en douze tableaux,,8,,Jean-Luc Godard,28057,
The Hustler,A,8,90,Robert Rossen,75067,"8,284,000"
La dolce vita,A,8,95,Federico Fellini,66621,"19,516,000"
Rio Bravo,Passed,8,93,Howard Hawks,56305,"12,535,000"
Anatomy of a Murder,,8,95,Otto Preminger,59847,"11,900,000"
Touch of Evil,PG-13,8,99,Orson Welles,98431,"2,237,659"
Cat on a Hot Tin Roof,A,8,84,Richard Brooks,45062,"17,570,324"
Sweet Smell of Success,Approved,8,100,Alexander Mackendrick,28137,
The Killing,Approved,8,91,Stanley Kubrick,81702,
The Night of the Hunter,,8,99,Charles Laughton,81980,"654,000"
La Strada,,8,,Federico Fellini,58314,
Les diaboliques,,8,,Henri-Georges Clouzot,61503,
Stalag 17,,8,84,Billy Wilder,51046,
Roman Holiday,,8,78,William Wyler,127256,
A Streetcar Named Desire,A,8,97,Elia Kazan,99182,"8,000,000"
In a Lonely Place,,8,,Nicholas Ray,26784,
Kind Hearts and Coronets,U,8,,Robert Hamer,34485,
Rope,A,8,73,Alfred Hitchcock,129783,
Out of the Past,,8,,Jacques Tourneur,32784,
Brief Encounter,U,8,92,David Lean,35601,
Laura,Passed,8,,Otto Preminger,42725,"4,360,000"
The Best Years of Our Lives,Approved,8,93,William Wyler,57259,"23,650,000"
Arsenic and Old Lace,,8,,Frank Capra,65101,
The Maltese Falcon,,8,96,John Huston,148928,"2,108,060"
The Grapes of Wrath,Passed,8,96,John Ford,85559,"55,000"
The Wizard of Oz,U,8,92,Victor Fleming,371379,"2,076,020"
La règle du jeu,,8,,Jean Renoir,26725,
The Thin Man,TV-PG,8,86,W.S. Van Dyke,26642,
All Quiet on the Western Front,U,8,91,Lewis Milestone,57318,"3,270,000"
Bronenosets Potemkin,,8,97,Sergei M. Eisenstein,53054,"50,970"
Knives Out,UA,7.9,82,Rian Johnson,454203,"165,359,751"
Dil Bechara,UA,7.9,,Mukesh Chhabra,111478,
Manbiki kazoku,A,7.9,93,Hirokazu Koreeda,62754,"3,313,513"
Marriage Story,U,7.9,94,Noah Baumbach,246644,"2,000,000"
Call Me by Your Name,UA,7.9,93,Luca Guadagnino,212651,"18,095,701"
"I, Daniel Blake",UA,7.9,78,Ken Loach,53818,"258,168"
Isle of Dogs,U,7.9,82,Wes Anderson,139114,"32,015,231"
Hunt for the Wilderpeople,UA,7.9,81,Taika Waititi,111483,"5,202,582"
Captain Fantastic,R,7.9,72,Matt Ross,189400,"5,875,006"
Sing Street,PG-13,7.9,79,John Carney,85109,"3,237,118"
Thor: Ragnarok,UA,7.9,74,Taika Waititi,587775,"315,058,289"
Nightcrawler,A,7.9,76,Dan Gilroy,466134,"32,381,218"
Jojo Rabbit,UA,7.9,58,Taika Waititi,297918,"349,555"
Arrival,UA,7.9,81,Denis Villeneuve,594181,"100,546,139"
Star Wars: Episode VII - The Force Awakens,U,7.9,80,J.J. Abrams,860823,"936,662,225"
Before Midnight,R,7.9,94,Richard Linklater,141457,"8,114,627"
X-Men: Days of Future Past,UA,7.9,75,Bryan Singer,659763,"233,921,534"
Bir Zamanlar Anadolu'da,,7.9,82,Nuri Bilge Ceylan,41995,"138,730"
The Artist,U,7.9,89,Michel Hazanavicius,230624,"44,671,682"
Edge of Tomorrow,UA,7.9,71,Doug Liman,600004,"100,206,256"
Amour,UA,7.9,94,Michael Haneke,93090,"6,739,492"
The Irishman,R,7.9,94,Martin Scorsese,324720,"7,000,000"
Un prophète,A,7.9,90,Jacques Audiard,93560,"2,084,637"
Moon,R,7.9,67,Duncan Jones,335152,"5,009,677"
Låt den rätte komma in,R,7.9,82,Tomas Alfredson,205609,"2,122,065"
District 9,A,7.9,81,Neill Blomkamp,638202,"115,646,235"
The Wrestler,UA,7.9,80,Darren Aronofsky,289415,"26,236,603"
Jab We Met,U,7.9,,Imtiaz Ali,47720,"410,800"
Boyhood,A,7.9,100,Richard Linklater,335533,"25,379,975"
"4 luni, 3 saptamâni si 2 zile",,7.9,97,Cristian Mungiu,56625,"1,185,783"
Star Trek,UA,7.9,82,J.J. Abrams,577336,"257,730,019"
In Bruges,R,7.9,67,Martin McDonagh,390334,"7,757,130"
The Man from Earth,,7.9,,Richard Schenkman,174125,
Letters from Iwo Jima,UA,7.9,89,Clint Eastwood,154011,"13,756,082"
The Fall,R,7.9,64,Tarsem Singh,107290,"2,280,348"
Life of Pi,U,7.9,79,Ang Lee,580708,"124,987,023"
Fantastic Mr. Fox,PG,7.9,83,Wes Anderson,199696,"21,002,919"
C.R.A.Z.Y.,,7.9,81,Jean-Marc Vallée,31476,
Les choristes,PG-13,7.9,56,Christophe Barratier,57430,"3,635,164"
Iron Man,UA,7.9,79,Jon Favreau,939644,"318,412,101"
Shaun of the Dead,UA,7.9,76,Edgar Wright,512249,"13,542,874"
Gegen die Wand,R,7.9,78,Fatih Akin,51325,
Mystic River,A,7.9,84,Clint Eastwood,419420,"90,135,191"
Harry Potter and the Prisoner of Azkaban,U,7.9,82,Alfonso Cuarón,552493,"249,358,727"
Ying xiong,PG-13,7.9,85,Yimou Zhang,173999,"53,710,019"
Hable con ella,R,7.9,86,Pedro Almodóvar,104691,"9,284,265"
No Man's Land,R,7.9,84,Danis Tanovic,44618,"1,059,830"
Cowboy Bebop: Tengoku no tobira,U,7.9,61,Shin'ichirô Watanabe,42897,"1,000,045"
The Bourne Identity,UA,7.9,68,Doug Liman,508771,"121,661,683"
Nueve reinas,R,7.9,80,Fabián Bielinsky,49721,"1,221,261"
Children of Men,A,7.9,84,Alfonso Cuarón,465113,"35,552,383"
Almost Famous,A,7.9,90,Cameron Crowe,252586,"32,534,850"
Mulholland Dr.,R,7.9,85,David Lynch,322031,"7,220,243"
Toy Story 2,U,7.9,88,John Lasseter,527512,"245,852,179"
Boogie Nights,R,7.9,85,Paul Thomas Anderson,239473,"26,400,640"
Mimi wo sumaseba,U,7.9,75,Yoshifumi Kondô,51943,
Once Were Warriors,A,7.9,77,Lee Tamahori,31590,"2,201,126"
True Romance,R,7.9,59,Tony Scott,206918,"12,281,500"
Trois couleurs: Bleu,U,7.9,85,Krzysztof Kieslowski,89836,"1,324,974"
Jûbê ninpûchô,A,7.9,,Yoshiaki Kawajiri,34529,
Carlito's Way,A,7.9,65,Brian De Palma,201000,"36,948,322"
Edward Scissorhands,U,7.9,74,Tim Burton,447368,"56,362,352"
My Left Foot: The Story of Christy Brown,U,7.9,97,Jim Sheridan,68076,"14,743,391"
Crimes and Misdemeanors,PG-13,7.9,77,Woody Allen,54670,"18,254,702"
The Untouchables,A,7.9,79,Brian De Palma,281842,"76,270,454"
Hannah and Her Sisters,PG-13,7.9,90,Woody Allen,67176,"40,084,041"
Brazil,U,7.9,84,Terry Gilliam,187567,"9,929,135"
This Is Spinal Tap,R,7.9,92,Rob Reiner,128812,"188,751"
A Christmas Story,U,7.9,77,Bob Clark,132947,"20,605,209"
The Blues Brothers,U,7.9,60,John Landis,183182,"57,229,890"
Manhattan,R,7.9,83,Woody Allen,131436,"45,700,000"
All That Jazz,A,7.9,72,Bob Fosse,28223,"37,823,676"
Dawn of the Dead,A,7.9,71,George A. Romero,111512,"5,100,000"
All the President's Men,U,7.9,84,Alan J. Pakula,103031,"70,600,000"
La montaña sagrada,R,7.9,76,Alejandro Jodorowsky,37183,"61,001"
Amarcord,R,7.9,,Federico Fellini,39897,
Le charme discret de la bourgeoisie,PG,7.9,93,Luis Buñuel,38737,"198,809"
"Aguirre, der Zorn Gottes",,7.9,,Werner Herzog,52397,
Harold and Maude,PG,7.9,62,Hal Ashby,70826,
Patton,U,7.9,91,Franklin J. Schaffner,93741,"61,700,000"
The Wild Bunch,A,7.9,97,Sam Peckinpah,77401,"12,064,472"
Night of the Living Dead,,7.9,89,George A. Romero,116557,"89,029"
The Lion in Winter,PG,7.9,,Anthony Harvey,29003,"22,276,975"
In the Heat of the Night,U,7.9,75,Norman Jewison,67804,"24,379,978"
Charade,U,7.9,83,Stanley Donen,68689,"13,474,588"
The Manchurian Candidate,PG-13,7.9,94,John Frankenheimer,71122,
Spartacus,A,7.9,87,Stanley Kubrick,124339,"30,000,000"
L'avventura,U,7.9,,Michelangelo Antonioni,26542,
Hiroshima mon amour,,7.9,,Alain Resnais,28421,"88,300"
The Ten Commandments,U,7.9,,Cecil B. DeMille,63560,"93,740,000"
The Searchers,Passed,7.9,94,John Ford,80316,
East of Eden,U,7.9,72,Elia Kazan,40313,
High Noon,PG,7.9,89,Fred Zinnemann,97222,"9,450,000"
Strangers on a Train,A,7.9,88,Alfred Hitchcock,123341,"7,630,000"
Harvey,Approved,7.9,,Henry Koster,52573,
Miracle on 34th Street,,7.9,88,George Seaton,41625,"2,650,000"
Notorious,U,7.9,100,Alfred Hitchcock,92306,"10,464,000"
The Big Sleep,Passed,7.9,,Howard Hawks,78796,"6,540,000"
The Lost Weekend,Passed,7.9,,Billy Wilder,33549,"9,460,000"
The Philadelphia Story,,7.9,96,George Cukor,63550,
His Girl Friday,Passed,7.9,,Howard Hawks,53667,"296,000"
The Adventures of Robin Hood,PG,7.9,97,Michael Curtiz,47175,"3,981,000"
A Night at the Opera,Passed,7.9,,Sam Wood,30580,"2,537,520"
King Kong,Passed,7.9,90,Merian C. Cooper,78991,"10,000,000"
Freaks,,7.9,80,Tod Browning,42117,
Nosferatu,,7.9,,F.W. Murnau,88794,
The Gentlemen,A,7.8,51,Guy Ritchie,237392,
Raazi,UA,7.8,,Meghna Gulzar,25344,
Sound of Metal,R,7.8,81,Darius Marder,27187,
Forushande,UA,7.8,85,Asghar Farhadi,51240,"2,402,067"
Dunkirk,UA,7.8,94,Christopher Nolan,555092,"188,373,161"
Perfetti sconosciuti,,7.8,,Paolo Genovese,57168,
Hidden Figures,UA,7.8,74,Theodore Melfi,200876,"169,607,287"
Paddington 2,U,7.8,88,Paul King,61594,"40,442,052"
Udta Punjab,A,7.8,,Abhishek Chaubey,27175,
Kubo and the Two Strings,PG,7.8,84,Travis Knight,118035,"48,023,088"
M.S. Dhoni: The Untold Story,U,7.8,,Neeraj Pandey,40416,"1,782,795"
Manchester by the Sea,UA,7.8,96,Kenneth Lonergan,246963,"47,695,120"
Under sandet,R,7.8,75,Martin Zandvliet,35539,"435,266"
Rogue One,UA,7.8,65,Gareth Edwards,556608,"532,177,324"
Captain America: Civil War,UA,7.8,75,Anthony Russo,663649,"408,084,349"
The Hateful Eight,A,7.8,68,Quentin Tarantino,517059,"54,117,416"
Little Women,U,7.8,91,Greta Gerwig,143250,"108,101,214"
Loving Vincent,UA,7.8,62,Dorota Kobiela,50778,"6,735,118"
Pride,R,7.8,79,Matthew Warchus,51841,
Le passé,PG-13,7.8,85,Asghar Farhadi,45002,"1,330,596"
La grande bellezza,,7.8,86,Paolo Sorrentino,81125,"2,852,400"
The Lunchbox,U,7.8,76,Ritesh Batra,50523,"4,231,500"
Vicky Donor,UA,7.8,,Shoojit Sircar,39710,"169,209"
Big Hero 6,U,7.8,74,Don Hall,410983,"222,527,828"
About Time,R,7.8,55,Richard Curtis,303032,"15,322,921"
English Vinglish,U,7.8,,Gauri Shinde,33618,"1,670,773"
Kaze tachinu,PG-13,7.8,83,Hayao Miyazaki,73690,"5,209,580"
Toy Story 4,U,7.8,84,Josh Cooley,203177,"434,038,008"
La migliore offerta,R,7.8,49,Giuseppe Tornatore,108399,"85,433"
Moonrise Kingdom,A,7.8,84,Wes Anderson,318789,"45,512,466"
How to Train Your Dragon 2,U,7.8,76,Dean DeBlois,305611,"177,002,924"
The Big Short,A,7.8,81,Adam McKay,362942,"70,259,870"
Kokuhaku,,7.8,,Tetsuya Nakashima,35713,
Ang-ma-reul bo-at-da,,7.8,67,Jee-woon Kim,111252,"128,392"
The Girl with the Dragon Tattoo,R,7.8,71,David Fincher,423010,"102,515,793"
Captain Phillips,UA,7.8,82,Paul Greengrass,421244,"107,100,855"
Ajeossi,R,7.8,,Jeong-beom Lee,62848,"6,460"
Straight Outta Compton,R,7.8,72,F. Gary Gray,179264,"161,197,785"
Madeo,R,7.8,79,Bong Joon Ho,52758,"547,292"
Chugyeokja,,7.8,64,Hong-jin Na,58468,
The Hobbit: The Desolation of Smaug,UA,7.8,66,Peter Jackson,601408,"258,366,855"
Das weiße Band - Eine deutsche Kindergeschichte,UA,7.8,82,Michael Haneke,68715,"2,222,647"
Män som hatar kvinnor,R,7.8,76,Niels Arden Oplev,208994,"10,095,170"
The Trial of the Chicago 7,R,7.8,77,Aaron Sorkin,89896,
Druk,,7.8,81,Thomas Vinterberg,33931,
The Fighter,UA,7.8,79,David O. Russell,340584,"93,617,009"
Taken,A,7.8,51,Pierre Morel,564791,"145,000,989"
The Boy in the Striped Pyjamas,PG-13,7.8,55,Mark Herman,190748,"9,030,581"
Once,R,7.8,88,John Carney,110656,"9,439,923"
The Hobbit: An Unexpected Journey,UA,7.8,58,Peter Jackson,757377,"303,003,568"
Auf der anderen Seite,,7.8,85,Fatih Akin,30827,"741,283"
Atonement,R,7.8,85,Joe Wright,251370,"50,927,067"
Drive,A,7.8,78,Nicolas Winding Refn,571571,"35,061,555"
American Gangster,A,7.8,76,Ridley Scott,392449,"130,164,645"
Avatar,UA,7.8,83,James Cameron,1118998,"760,507,625"
Mr. Nobody,R,7.8,63,Jaco Van Dormael,216421,"3,600"
Apocalypto,A,7.8,68,Mel Gibson,291018,"50,866,635"
Little Miss Sunshine,UA,7.8,80,Jonathan Dayton,439856,"59,891,098"
Hot Fuzz,UA,7.8,81,Edgar Wright,463466,"23,637,265"
The Curious Case of Benjamin Button,UA,7.8,70,David Fincher,589160,"127,509,326"
Veer-Zaara,U,7.8,67,Yash Chopra,49050,"2,921,738"
Adams æbler,R,7.8,51,Anders Thomas Jensen,45717,"1,305"
Pride & Prejudice,PG,7.8,82,Joe Wright,258924,"38,405,088"
The World's Fastest Indian,U,7.8,68,Roger Donaldson,51980,"5,128,124"
Tôkyô goddofâzâzu,UA,7.8,73,Satoshi Kon,31658,"128,985"
Serenity,PG-13,7.8,74,Joss Whedon,283310,"25,514,517"
Walk the Line,PG-13,7.8,72,James Mangold,234207,"119,519,402"
Ondskan,,7.8,61,Mikael Håfström,35682,"15,280"
The Notebook,A,7.8,53,Nick Cassavetes,520284,"81,001,787"
Diarios de motocicleta,U,7.8,75,Walter Salles,96703,"16,756,372"
Lilja 4-ever,R,7.8,82,Lukas Moodysson,42673,"181,655"
Les triplettes de Belleville,PG-13,7.8,91,Sylvain Chomet,50622,"7,002,255"
Gongdong gyeongbi guyeok JSA,,7.8,58,Chan-wook Park,26518,
The Count of Monte Cristo,PG-13,7.8,61,Kevin Reynolds,129022,"54,234,062"
Waking Life,R,7.8,83,Richard Linklater,60684,"2,892,011"
Remember the Titans,U,7.8,48,Boaz Yakin,198089,"115,654,751"
Wo hu cang long,UA,7.8,94,Ang Lee,253228,"128,078,872"
Todo sobre mi madre,R,7.8,87,Pedro Almodóvar,89058,"8,264,530"
Cast Away,UA,7.8,73,Robert Zemeckis,524235,"233,632,142"
The Boondock Saints,R,7.8,44,Troy Duffy,227143,"25,812"
The Insider,UA,7.8,84,Michael Mann,159886,"28,965,197"
October Sky,PG,7.8,71,Joe Johnston,82855,"32,481,825"
Shrek,U,7.8,84,Andrew Adamson,613941,"267,665,011"
Titanic,UA,7.8,75,James Cameron,1046089,"659,325,379"
Hana-bi,,7.8,,Takeshi Kitano,27712,"233,986"
Gattaca,UA,7.8,64,Andrew Niccol,280845,"12,339,633"
The Game,UA,7.8,61,David Fincher,345096,"48,323,648"
Breaking the Waves,R,7.8,76,Lars von Trier,62428,"4,040,691"
Ed Wood,U,7.8,70,Tim Burton,164937,"5,887,457"
What's Eating Gilbert Grape,U,7.8,73,Lasse Hallström,215034,"9,170,214"
Tombstone,R,7.8,50,George P. Cosmatos,126871,"56,505,065"
The Sandlot,U,7.8,55,David Mickey Evans,78963,"32,416,586"
The Remains of the Day,U,7.8,84,James Ivory,66065,"22,954,968"
Naked,,7.8,84,Mike Leigh,34635,"1,769,305"
The Fugitive,U,7.8,87,Andrew Davis,267684,"183,875,760"
A Bronx Tale,R,7.8,80,Robert De Niro,128171,"17,266,971"
Batman: Mask of the Phantasm,PG,7.8,,Kevin Altieri,43690,"5,617,391"
