Series.Title,Certificate,IMDB.Rating,Meta.score,Director,No.of.Votes,Gross
Lat sau san taam,R,7.8,,John Woo,46700,
Night on Earth,R,7.8,68,Jim Jarmusch,55362,"2,015,810"
La double vie de Véronique,R,7.8,86,Krzysztof Kieslowski,42376,"1,999,955"
Boyz n the Hood,A,7.8,76,John Singleton,126082,"57,504,069"
Misery,R,7.8,75,Rob Reiner,184740,"61,276,872"
Awakenings,U,7.8,74,Penny Marshall,125276,"52,096,475"
Majo no takkyûbin,U,7.8,83,Hayao Miyazaki,124193,
Glory,R,7.8,78,Edward Zwick,122779,"26,830,000"
Dip huet seung hung,R,7.8,82,John Woo,45624,
Back to the Future Part II,U,7.8,57,Robert Zemeckis,481918,"118,500,000"
Mississippi Burning,A,7.8,65,Alan Parker,88214,"34,603,943"
Predator,A,7.8,45,John McTiernan,371387,"59,735,548"
Evil Dead II,A,7.8,72,Sam Raimi,148359,"5,923,044"
Ferris Bueller's Day Off,U,7.8,61,John Hughes,321382,"70,136,369"
Down by Law,R,7.8,75,Jim Jarmusch,47834,"1,436,000"
The Goonies,U,7.8,62,Richard Donner,244430,"61,503,218"
The Color Purple,U,7.8,78,Steven Spielberg,78321,"98,467,863"
The Breakfast Club,UA,7.8,66,John Hughes,357026,"45,875,171"
The Killing Fields,UA,7.8,76,Roland Joffé,51585,"34,700,291"
Ghostbusters,UA,7.8,71,Ivan Reitman,355413,"238,632,124"
The Right Stuff,PG,7.8,91,Philip Kaufman,56235,"21,500,000"
The King of Comedy,U,7.8,73,Martin Scorsese,88511,"2,500,000"
E.T. the Extra-Terrestrial,U,7.8,91,Steven Spielberg,372490,"435,110,554"
Kramer vs. Kramer,A,7.8,77,Robert Benton,133351,"106,260,000"
Days of Heaven,PG,7.8,93,Terrence Malick,52852,
The Outlaw Josey Wales,A,7.8,69,Clint Eastwood,65659,"31,800,000"
The Man Who Would Be King,PG,7.8,91,John Huston,44917,
The Conversation,U,7.8,85,Francis Ford Coppola,98611,"4,420,000"
La planète sauvage,U,7.8,73,René Laloux,25229,"193,817"
The Day of the Jackal,A,7.8,80,Fred Zinnemann,37445,"16,056,255"
Badlands,PG,7.8,93,Terrence Malick,66009,
Cabaret,A,7.8,80,Bob Fosse,48334,"42,765,000"
Willy Wonka & the Chocolate Factory,U,7.8,67,Mel Stuart,178731,"4,000,000"
Midnight Cowboy,A,7.8,79,John Schlesinger,101124,"44,785,053"
Wait Until Dark,,7.8,81,Terence Young,27733,"17,550,741"
Guess Who's Coming to Dinner,,7.8,63,Stanley Kramer,39642,"56,700,000"
Bonnie and Clyde,A,7.8,86,Arthur Penn,102415,
My Fair Lady,U,7.8,95,George Cukor,86525,"72,000,000"
Mary Poppins,U,7.8,88,Robert Stevenson,158029,"102,272,727"
The Longest Day,G,7.8,75,Ken Annakin,52141,"39,100,000"
Jules et Jim,,7.8,97,François Truffaut,37605,
The Innocents,A,7.8,88,Jack Clayton,27007,"2,616,000"
À bout de souffle,U,7.8,,Jean-Luc Godard,73251,"336,705"
Red River,Passed,7.8,,Howard Hawks,28167,
Key Largo,,7.8,,John Huston,36995,
To Have and Have Not,PG,7.8,,Howard Hawks,31053,
Shadow of a Doubt,PG,7.8,94,Alfred Hitchcock,59556,
Stagecoach,Passed,7.8,93,John Ford,43621,
The Lady Vanishes,,7.8,98,Alfred Hitchcock,47400,
Bringing Up Baby,Passed,7.8,91,Howard Hawks,55163,
Bride of Frankenstein,,7.8,95,James Whale,43542,"4,360,000"
Duck Soup,,7.8,93,Leo McCarey,55581,
Scarface: The Shame of the Nation,PG,7.8,87,Howard Hawks,25312,
Frankenstein,Passed,7.8,91,James Whale,65341,
Roma,R,7.7,96,Alfonso Cuarón,140375,
God's Own Country,,7.7,85,Francis Lee,25198,"335,609"
Deadpool 2,R,7.7,66,David Leitch,478586,"324,591,735"
Wind River,R,7.7,73,Taylor Sheridan,205444,"33,800,859"
Get Out,R,7.7,85,Jordan Peele,492851,"176,040,665"
Mission: Impossible - Fallout,UA,7.7,86,Christopher McQuarrie,291257,"220,159,104"
En man som heter Ove,PG-13,7.7,70,Hannes Holm,47444,"3,358,518"
What We Do in the Shadows,R,7.7,76,Jemaine Clement,157498,"3,333,000"
Omoide no Mânî,U,7.7,72,James Simone,32798,"765,127"
The Theory of Everything,U,7.7,72,James Marsh,404182,"35,893,537"
Kingsman: The Secret Service,A,7.7,60,Matthew Vaughn,590440,"128,261,724"
The Fault in Our Stars,UA,7.7,69,Josh Boone,344312,"124,872,350"
Me and Earl and the Dying Girl,PG-13,7.7,74,Alfonso Gomez-Rejon,123210,"6,743,776"
Birdman or (The Unexpected Virtue of Ignorance),A,7.7,87,Alejandro G. Iñárritu,580291,"42,340,598"
La vie d'Adèle,A,7.7,89,Abdellatif Kechiche,138741,"2,199,675"
Kai po che!,U,7.7,40,Abhishek Kapoor,32628,"1,122,527"
The Broken Circle Breakdown,,7.7,70,Felix van Groeningen,39379,"175,058"
Captain America: The Winter Soldier,UA,7.7,70,Anthony Russo,736182,"259,766,572"
Rockstar,UA,7.7,,Imtiaz Ali,39501,"985,912"
Nebraska,UA,7.7,87,Alexander Payne,112298,"17,654,912"
Wreck-It Ralph,U,7.7,72,Rich Moore,380195,"189,422,889"
Le Petit Prince,PG,7.7,70,Mark Osborne,56720,"1,339,152"
Detachment,,7.7,52,Tony Kaye,77071,"71,177"
Midnight in Paris,PG-13,7.7,81,Woody Allen,388089,"56,816,662"
The Lego Movie,U,7.7,83,Christopher Miller,323982,"257,760,692"
Gravity,UA,7.7,96,Alfonso Cuarón,769145,"274,092,705"
Star Trek Into Darkness,UA,7.7,72,J.J. Abrams,463188,"228,778,661"
Beasts of No Nation,,7.7,79,Cary Joji Fukunaga,73964,"83,861"
The Social Network,UA,7.7,95,David Fincher,624982,"96,962,694"
X: First Class,UA,7.7,65,Matthew Vaughn,645512,"146,408,305"
The Hangover,UA,7.7,73,Todd Phillips,717559,"277,322,503"
Skyfall,UA,7.7,81,Sam Mendes,630614,"304,360,277"
Silver Linings Playbook,A,7.7,81,David O. Russell,661871,"132,092,958"
Argo,A,7.7,86,Ben Affleck,572581,"136,025,503"
(500) Days of Summer,UA,7.7,76,Marc Webb,472242,"32,391,374"
Harry Potter and the Deathly Hallows: Part 1,A,7.7,65,David Yates,479120,"295,983,305"
Gake no ue no Ponyo,U,7.7,86,Hayao Miyazaki,125317,"15,090,400"
Frost/Nixon,R,7.7,80,Ron Howard,103330,"18,593,156"
Papurika,U,7.7,81,Satoshi Kon,71379,"881,302"
Changeling,R,7.7,63,Clint Eastwood,239203,"35,739,802"
Flipped,PG,7.7,45,Rob Reiner,81446,"1,752,214"
Toki o kakeru shôjo,U,7.7,,Mamoru Hosoda,60368,
Death Note: Desu nôto,,7.7,,Shûsuke Kaneko,28630,
This Is England,,7.7,86,Shane Meadows,115576,"327,919"
Ex Machina,UA,7.7,78,Alex Garland,474141,"25,442,958"
Efter brylluppet,R,7.7,78,Susanne Bier,32001,"412,544"
The Last King of Scotland,R,7.7,74,Kevin Macdonald,175355,"17,605,861"
Zodiac,UA,7.7,78,David Fincher,466080,"33,080,084"
Lucky Number Slevin,R,7.7,53,Paul McGuigan,299524,"22,494,487"
Joyeux Noël,PG-13,7.7,70,Christian Carion,28003,"1,054,361"
Control,R,7.7,78,Anton Corbijn,61609,"871,577"
Tangled,U,7.7,71,Nathan Greno,405922,"200,821,936"
Zwartboek,R,7.7,71,Paul Verhoeven,72643,"4,398,392"
Brokeback Mountain,A,7.7,87,Ang Lee,323103,"83,043,761"
3:10 to Yuma,A,7.7,76,James Mangold,288797,"53,606,916"
Crash,UA,7.7,66,Paul Haggis,419483,"54,580,300"
Kung fu,UA,7.7,78,Stephen Chow,127250,"17,108,591"
The Bourne Supremacy,A,7.7,73,Paul Greengrass,434841,"176,241,941"
The Machinist,R,7.7,61,Brad Anderson,358432,"1,082,715"
Ray,A,7.7,73,Taylor Hackford,138356,"75,331,600"
Lost in Translation,UA,7.7,89,Sofia Coppola,415074,"44,585,453"
Harry Potter and the Goblet of Fire,UA,7.7,81,Mike Newell,548619,"290,013,036"
Man on Fire,UA,7.7,47,Tony Scott,329592,"77,911,774"
Coraline,U,7.7,80,Henry Selick,197761,"75,286,229"
The Last Samurai,UA,7.7,55,Edward Zwick,400049,"111,110,575"
The Magdalene Sisters,R,7.7,83,Peter Mullan,25938,"4,890,878"
Good Bye Lenin!,R,7.7,68,Wolfgang Becker,137981,"4,064,200"
In America,PG-13,7.7,76,Jim Sheridan,40403,"15,539,266"
I Am Sam,PG-13,7.7,28,Jessie Nelson,142863,"40,311,852"
Adaptation.,R,7.7,83,Spike Jonze,178565,"22,245,861"
Black Hawk Down,A,7.7,74,Ridley Scott,364254,"108,638,745"
Road to Perdition,A,7.7,72,Sam Mendes,246840,"104,454,762"
Das Experiment,R,7.7,60,Oliver Hirschbiegel,90842,"141,072"
Billy Elliot,R,7.7,74,Stephen Daldry,126770,"21,995,263"
Hedwig and the Angry Inch,R,7.7,85,John Cameron Mitchell,31957,"3,029,081"
Ocean's Eleven,UA,7.7,74,Steven Soderbergh,516372,"183,417,150"
Vampire Hunter D: Bloodlust,U,7.7,62,Yoshiaki Kawajiri,29210,"151,086"
"O Brother, Where Art Thou?",U,7.7,69,Joel Coen,286742,"45,512,588"
Interstate 60: Episodes of the Road,R,7.7,,Bob Gale,29999,
"South Park: Bigger, Longer & Uncut",A,7.7,73,Trey Parker,192112,"52,037,603"
Office Space,R,7.7,68,Mike Judge,241575,"10,824,921"
Happiness,,7.7,81,Todd Solondz,66408,"2,807,390"
Training Day,A,7.7,69,Antoine Fuqua,390247,"76,631,907"
Rushmore,UA,7.7,86,Wes Anderson,169229,"17,105,219"
Abre los ojos,U,7.7,,Alejandro Amenábar,64082,"368,234"
Being John Malkovich,R,7.7,90,Spike Jonze,312542,"22,858,926"
As Good as It Gets,A,7.7,67,James L. Brooks,275755,"148,478,011"
The Fifth Element,UA,7.7,52,Luc Besson,434125,"63,540,020"
Le dîner de cons,PG-13,7.7,73,Francis Veber,37424,"4,065,116"
Donnie Brasco,A,7.7,76,Mike Newell,279318,"41,909,762"
Shine,U,7.7,87,Scott Hicks,51350,"35,811,509"
Primal Fear,A,7.7,47,Gregory Hoblit,189716,"56,116,183"
Hamlet,PG-13,7.7,,Kenneth Branagh,35991,"4,414,535"
A Little Princess,U,7.7,83,Alfonso Cuarón,32236,"10,019,307"
Do lok tin si,UA,7.7,71,Kar-Wai Wong,26429,
Il postino,U,7.7,81,Michael Radford,33600,"21,848,932"
Clerks,R,7.7,70,Kevin Smith,211450,"3,151,130"
Short Cuts,R,7.7,79,Robert Altman,42275,"6,110,979"
Philadelphia,UA,7.7,66,Jonathan Demme,224169,"77,324,422"
The Muppet Christmas Carol,G,7.7,64,Brian Henson,50298,"27,281,507"
Malcolm X,U,7.7,73,Spike Lee,85819,"48,169,908"
The Last of the Mohicans,UA,7.7,76,Michael Mann,150409,"75,505,856"
Kurenai no buta,U,7.7,83,Hayao Miyazaki,77798,
Glengarry Glen Ross,R,7.7,82,James Foley,95826,"10,725,228"
A Few Good Men,U,7.7,62,Rob Reiner,235388,"141,340,178"
Fried Green Tomatoes,PG-13,7.7,64,Jon Avnet,66941,"82,418,501"
Barton Fink,U,7.7,69,Joel Coen,113240,"6,153,939"
Miller's Crossing,R,7.7,66,Joel Coen,125822,"5,080,409"
Who Framed Roger Rabbit,U,7.7,83,Robert Zemeckis,182009,"156,452,370"
Spoorloos,,7.7,,George Sluizer,33982,
Withnail & I,R,7.7,84,Bruce Robinson,40396,"1,544,889"
The Last Emperor,U,7.7,76,Bernardo Bertolucci,94326,"43,984,230"
Empire of the Sun,U,7.7,62,Steven Spielberg,115677,"22,238,696"
Der Name der Rose,R,7.7,54,Jean-Jacques Annaud,102031,"7,153,487"
Blue Velvet,A,7.7,76,David Lynch,181285,"8,551,228"
The Purple Rose of Cairo,U,7.7,75,Woody Allen,47102,"10,631,333"
After Hours,UA,7.7,90,Martin Scorsese,59635,"10,600,000"
Zelig,PG,7.7,,Woody Allen,39881,"11,798,616"
The Verdict,U,7.7,77,Sidney Lumet,36096,"54,000,000"
Star Trek II: The Wrath of Khan,U,7.7,67,Nicholas Meyer,112704,"78,912,963"
First Blood,A,7.7,61,Ted Kotcheff,226541,"47,212,904"
Ordinary People,U,7.7,86,Robert Redford,47099,"54,800,000"
Airplane!,U,7.7,78,Jim Abrahams,214882,"83,400,000"
Rupan sansei: Kariosutoro no shiro,U,7.7,71,Hayao Miyazaki,27014,
Halloween,A,7.7,87,John Carpenter,233106,"47,000,000"
Le locataire,R,7.7,71,Roman Polanski,39889,"1,924,733"
Love and Death,PG,7.7,89,Woody Allen,36037,
The Taking of Pelham One Two Three,U,7.7,68,Joseph Sargent,26729,
Blazing Saddles,A,7.7,73,Mel Brooks,125993,"119,500,000"
Serpico,A,7.7,87,Sidney Lumet,109941,"29,800,000"
Enter the Dragon,A,7.7,83,Robert Clouse,96561,"25,000,000"
Deliverance,U,7.7,80,John Boorman,98740,"7,056,013"
The French Connection,A,7.7,94,William Friedkin,110075,"15,630,710"
Dirty Harry,A,7.7,90,Don Siegel,143292,"35,900,000"
Where Eagles Dare,U,7.7,63,Brian G. Hutton,51913,
The Odd Couple,G,7.7,86,Gene Saks,31572,"44,527,234"
The Dirty Dozen,,7.7,73,Robert Aldrich,67183,"45,300,000"
Belle de jour,A,7.7,,Luis Buñuel,40274,"26,331"
A Man for All Seasons,U,7.7,72,Fred Zinnemann,31222,"28,350,000"
Repulsion,,7.7,91,Roman Polanski,48883,
Zulu,U,7.7,77,Cy Endfield,35999,
Goldfinger,A,7.7,87,Guy Hamilton,174119,"51,081,062"
The Birds,A,7.7,90,Alfred Hitchcock,171739,"11,403,529"
Cape Fear,Passed,7.7,76,J. Lee Thompson,26457,
Peeping Tom,,7.7,,Michael Powell,31354,"83,957"
The Magnificent Seven,Approved,7.7,74,John Sturges,87719,"4,905,000"
Les yeux sans visage,,7.7,90,Georges Franju,27620,"52,709"
Invasion of the Body Snatchers,Approved,7.7,92,Don Siegel,44839,
Rebel Without a Cause,PG-13,7.7,89,Nicholas Ray,83363,
The Ladykillers,,7.7,91,Alexander Mackendrick,26464,
Sabrina,Passed,7.7,72,Billy Wilder,59415,
The Quiet Man,Passed,7.7,,John Ford,34677,"10,550,000"
The Day the Earth Stood Still,U,7.7,,Robert Wise,76315,
The African Queen,PG,7.7,91,John Huston,71481,"536,118"
Gilda,Approved,7.7,,Charles Vidor,27991,
Fantasia,G,7.7,96,James Algar,88662,"76,408,097"
The Invisible Man,TV-PG,7.7,87,James Whale,30683,
Dark Waters,PG-13,7.6,73,Todd Haynes,60408,
Searching,U/A,7.6,71,Aneesh Chaganty,140840,"26,020,957"
Once Upon a Time... in Hollywood,A,7.6,83,Quentin Tarantino,551309,"142,502,728"
Nelyubov,R,7.6,86,Andrey Zvyagintsev,29765,"566,356"
The Florida Project,A,7.6,92,Sean Baker,95181,"5,904,366"
Just Mercy,A,7.6,68,Destin Daniel Cretton,46739,
Gifted,PG-13,7.6,60,Marc Webb,99643,"24,801,212"
The Peanut Butter Falcon,PG-13,7.6,70,Tyler Nilson,66346,"13,122,642"
Victoria,,7.6,77,Sebastian Schipper,52903,
Mustang,PG-13,7.6,83,Deniz Gamze Ergüven,35785,"845,464"
Guardians of the Galaxy Vol. 2,UA,7.6,67,James Gunn,569974,"389,813,101"
Baby Driver,UA,7.6,86,Edgar Wright,439406,"107,825,862"
Only the Brave,UA,7.6,72,Joseph Kosinski,58371,"18,340,051"
Bridge of Spies,UA,7.6,81,Steven Spielberg,287659,"72,313,754"
Incredibles 2,UA,7.6,80,Brad Bird,250057,"608,581,744"
Moana,U,7.6,81,Ron Clements,272784,"248,757,044"
Sicario,A,7.6,82,Denis Villeneuve,371291,"46,889,293"
Creed,A,7.6,82,Ryan Coogler,247666,"109,767,581"
Leviafan,R,7.6,92,Andrey Zvyagintsev,49397,"1,092,800"
Hell or High Water,R,7.6,88,David Mackenzie,204175,"26,862,450"
Philomena,PG-13,7.6,77,Stephen Frears,94212,"37,707,719"
Dawn of the Planet of the Apes,UA,7.6,79,Matt Reeves,411599,"208,545,589"
El cuerpo,,7.6,,Oriol Paulo,57549,
Serbuan maut,A,7.6,73,Gareth Evans,190531,"4,105,123"
End of Watch,A,7.6,68,David Ayer,228132,"41,003,371"
Kari-gurashi no Arietti,U,7.6,80,Hiromasa Yonebayashi,80939,"19,202,743"
A Star Is Born,UA,7.6,88,Bradley Cooper,334312,"215,288,866"
True Grit,PG-13,7.6,80,Ethan Coen,311822,"171,243,005"
Hævnen,R,7.6,65,Susanne Bier,38491,"1,008,098"
Despicable Me,U,7.6,72,Pierre Coffin,500851,"251,513,985"
50/50,R,7.6,72,Jonathan Levine,315426,"35,014,192"
Kick-Ass,UA,7.6,66,Matthew Vaughn,524081,"48,071,303"
Celda 211,,7.6,,Daniel Monzón,63882,
Moneyball,PG-13,7.6,87,Bennett Miller,369529,"75,605,492"
La piel que habito,R,7.6,70,Pedro Almodóvar,138959,"3,185,812"
Zombieland,A,7.6,73,Ruben Fleischer,520041,"75,590,286"
Die Welle,,7.6,,Dennis Gansel,102742,
Sherlock Holmes,PG-13,7.6,57,Guy Ritchie,583158,"209,028,679"
The Blind Side,UA,7.6,53,John Lee Hancock,293266,"255,959,475"
The Visitor,PG-13,7.6,79,Tom McCarthy,41544,"9,422,422"
Seven Pounds,UA,7.6,36,Gabriele Muccino,286770,"69,951,824"
Eastern Promises,R,7.6,82,David Cronenberg,227760,"17,114,882"
Stardust,U,7.6,66,Matthew Vaughn,255036,"38,634,938"
The Secret of Kells,,7.6,81,Tomm Moore,31779,"686,383"
Inside Man,R,7.6,76,Spike Lee,339757,"88,513,495"
Gone Baby Gone,R,7.6,72,Ben Affleck,250590,"20,300,218"
La Vie En Rose,PG-13,7.6,66,Olivier Dahan,82781,"10,301,706"
Huo Yuan Jia,PG-13,7.6,70,Ronny Yu,72863,"24,633,730"
The Illusionist,U,7.6,68,Neil Burger,354728,"39,868,642"
Dead Man's Shoes,,7.6,52,Shane Meadows,49728,"6,013"
Harry Potter and the Half-Blood Prince,UA,7.6,78,David Yates,474827,"301,959,197"
300,A,7.6,52,Zack Snyder,732876,"210,614,939"
Match Point,R,7.6,72,Woody Allen,206294,"23,089,926"
Watchmen,A,7.6,56,Zack Snyder,500799,"107,509,799"
Lord of War,R,7.6,62,Andrew Niccol,294140,"24,149,632"
Saw,UA,7.6,46,James Wan,379020,"56,000,369"
"Synecdoche, New York",R,7.6,67,Charlie Kaufman,83158,"3,081,925"
Mysterious Skin,R,7.6,73,Gregg Araki,65939,"697,181"
Jeux d'enfants,R,7.6,45,Yann Samuell,67360,"548,707"
Un long dimanche de fiançailles,U,7.6,76,Jean-Pierre Jeunet,70925,"6,167,817"
The Station Agent,R,7.6,81,Tom McCarthy,67370,"5,739,376"
21 Grams,UA,7.6,70,Alejandro G. Iñárritu,224545,"16,290,476"
Boksuneun naui geot,R,7.6,56,Chan-wook Park,62659,"45,289"
Finding Neverland,U,7.6,67,Marc Forster,198677,"51,680,613"
25th Hour,R,7.6,68,Spike Lee,169708,"13,060,843"
The Butterfly Effect,U,7.6,30,Eric Bress,451479,"57,938,693"
28 Days Later...,A,7.6,73,Danny Boyle,376853,"45,064,915"
Batoru rowaiaru,,7.6,81,Kinji Fukasaku,169091,
The Royal Tenenbaums,A,7.6,76,Wes Anderson,266842,"52,364,010"
Y tu mamá también,A,7.6,88,Alfonso Cuarón,115827,"13,622,333"
Harry Potter and the Sorcerer's Stone,U,7.6,64,Chris Columbus,658185,"317,575,550"
The Others,PG-13,7.6,74,Alejandro Amenábar,337651,"96,522,687"
Blow,R,7.6,52,Ted Demme,240714,"52,990,775"
Enemy at the Gates,A,7.6,53,Jean-Jacques Annaud,243729,"51,401,758"
Minority Report,A,7.6,80,Steven Spielberg,508417,"132,072,926"
The Hurricane,R,7.6,74,Norman Jewison,91557,"50,668,906"
American Psycho,A,7.6,64,Mary Harron,490062,"15,070,285"
Lola rennt,UA,7.6,77,Tom Tykwer,188317,"7,267,585"
The Thin Red Line,A,7.6,78,Terrence Malick,172710,"36,400,491"
Mulan,U,7.6,71,Tony Bancroft,256906,"120,620,254"
Fear and Loathing in Las Vegas,R,7.6,41,Terry Gilliam,259753,"10,680,275"
Funny Games,A,7.6,69,Michael Haneke,65058,
Dark City,A,7.6,66,Alex Proyas,187927,"14,378,331"
Sleepers,UA,7.6,49,Barry Levinson,186734,"49,100,000"
Lost Highway,A,7.6,52,David Lynch,131101,"3,796,699"
Sense and Sensibility,U,7.6,84,Ang Lee,102598,"43,182,776"
Die Hard: With a Vengeance,A,7.6,58,John McTiernan,364420,"100,012,499"
Dead Man,R,7.6,62,Jim Jarmusch,90442,"1,037,847"
The Bridges of Madison County,A,7.6,69,Clint Eastwood,73172,"71,516,617"
Apollo 13,U,7.6,77,Ron Howard,269197,"173,837,933"
Trois couleurs: Blanc,U,7.6,88,Krzysztof Kieslowski,64390,"1,464,625"
Falling Down,R,7.6,56,Joel Schumacher,171640,"40,903,593"
Dazed and Confused,U,7.6,78,Richard Linklater,165465,"7,993,039"
My Cousin Vinny,UA,7.6,68,Jonathan Lynn,107325,"52,929,168"
Omohide poro poro,U,7.6,90,Isao Takahata,27071,"453,243"
Delicatessen,R,7.6,66,Marc Caro,80487,"1,794,187"
Home Alone,U,7.6,63,Chris Columbus,488817,"285,761,243"
The Godfather: Part III,A,7.6,60,Francis Ford Coppola,359809,"66,666,062"
When Harry Met Sally...,UA,7.6,76,Rob Reiner,195663,"92,823,600"
The Little Mermaid,U,7.6,88,Ron Clements,237696,"111,543,479"
The Naked Gun: From the Files of Police Squad!,U,7.6,76,David Zucker,152871,"78,756,177"
"Planes, Trains & Automobiles",U,7.6,72,John Hughes,124773,"49,530,280"
Lethal Weapon,A,7.6,68,Richard Donner,236894,"65,207,127"
Blood Simple,A,7.6,82,Joel Coen,87745,"2,150,000"
On Golden Pond,UA,7.6,68,Mark Rydell,27650,"119,285,432"
Mad Max 2,A,7.6,77,George Miller,166588,"12,465,371"
The Warriors,UA,7.6,65,Walter Hill,93878,"22,490,039"
The Muppet Movie,U,7.6,74,James Frawley,32802,"76,657,000"
Escape from Alcatraz,A,7.6,76,Don Siegel,121731,"43,000,000"
Watership Down,U,7.6,64,Martin Rosen,33656,
Midnight Express,A,7.6,59,Alan Parker,73662,"35,000,000"
Close Encounters of the Third Kind,U,7.6,90,Steven Spielberg,184966,"132,088,635"
The Long Goodbye,A,7.6,87,Robert Altman,26337,"959,000"
Giù la testa,PG,7.6,77,Sergio Leone,30144,"696,690"
Kelly's Heroes,GP,7.6,50,Brian G. Hutton,45338,"1,378,435"
The Jungle Book,U,7.6,65,Wolfgang Reitherman,166409,"141,843,612"
Blowup,A,7.6,82,Michelangelo Antonioni,56513,
A Hard Day's Night,U,7.6,96,Richard Lester,40351,"13,780,024"
Breakfast at Tiffany's,A,7.6,76,Blake Edwards,166544,
Giant,G,7.6,84,George Stevens,34075,
From Here to Eternity,Passed,7.6,85,Fred Zinnemann,43374,"30,500,000"
Lifeboat,,7.6,78,Alfred Hitchcock,26471,
The 39 Steps,,7.6,93,Alfred Hitchcock,51853,